Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
RandomForest,,,,,,,,,,
0,274.8509729,12.00153589,0.9209375,0.927815806,0.915847666,0.92179289,0.979852256,0.921028174,0.9209375,0.920943176
1,253.8883548,11.85558724,0.93625,0.939061548,0.936778116,0.937918442,0.981963161,0.936257214,0.93625,0.936252143
2,269.9643521,14.00630045,0.925,0.920099875,0.929382093,0.924717691,0.981717254,0.925049063,0.925,0.925001406
3,327.7998388,12.76188612,0.9296875,0.920219245,0.941433022,0.930705266,0.984221843,0.929912356,0.9296875,0.929675557
4,321.637084,12.99426556,0.9253125,0.918215613,0.932662052,0.925382454,0.982014051,0.925424368,0.9253125,0.925311953
5,286.8272898,12.62525964,0.929375,0.923786109,0.936448598,0.930074257,0.981451823,0.929453166,0.929375,0.929370144
6,288.7840719,11.27183127,0.9353125,0.927127985,0.945068664,0.936012365,0.985425085,0.935474414,0.9353125,0.935305645
7,269.1016757,11.5002358,0.9309375,0.930189835,0.934194342,0.932187788,0.98522144,0.93094084,0.9309375,0.930934714
8,248.7492054,11.27688718,0.92875,0.919949174,0.934193548,0.927016645,0.980864782,0.928879901,0.92875,0.928762699
9,267.6307547,11.94640517,0.925625,0.921169739,0.92706334,0.924107143,0.979479795,0.925652383,0.925625,0.92562965
,2809.2336,,0.92871875,0.924763493,0.933307144,0.928991494,,,,
LogisticRegression,,,,,,,,,,
0,20.69934726,4.480025291,0.95,0.969910371,0.930589681,0.94984326,0.988773099,0.950802249,0.95,0.949996777
1,20.69661522,4.428163767,0.954375,0.972870662,0.937386018,0.954798762,0.992532183,0.955062145,0.954375,0.954383021
2,20.74985456,4.81512785,0.95125,0.966101695,0.93442623,0.95,0.992032385,0.951713558,0.95125,0.951230183
3,20.72056913,4.66353178,0.956875,0.969289827,0.943925234,0.956439394,0.992252296,0.957193523,0.956875,0.956869339
4,20.72470117,4.495982409,0.955625,0.971335505,0.938325991,0.954545455,0.991549589,0.95613453,0.955625,0.955607205
5,20.66184688,4.351370096,0.9571875,0.971116816,0.942679128,0.95668669,0.991523679,0.957586208,0.9571875,0.957180228
6,20.63977909,4.596745253,0.9571875,0.963314358,0.950686642,0.956958844,0.992796939,0.957266971,0.9571875,0.957186007
7,22.73207235,4.481023073,0.95625,0.972045743,0.94095941,0.95625,0.99334257,0.956755153,0.95625,0.95625
8,20.76854539,4.492990971,0.958125,0.968874172,0.943870968,0.95620915,0.991381449,0.958379418,0.958125,0.958102056
9,20.84208417,4.477034807,0.9503125,0.960629921,0.936660269,0.948493683,0.98989501,0.950552583,0.9503125,0.950291089
,209.2354152,,0.95471875,0.968548907,0.939950957,0.954022524,,,,
